,Genome,time_create,mother,age
93,Right Foto Right Chemo Left Down Eat Foto Up Up Foto Foto Left Left Eat Down Chemo Up Down Left Left Down Down Eat Left,0,-1,168
94,Right Down Right Chemo Chemo Eat Left Down Left Left Eat Down Down Right Foto Chemo Chemo Right Right Right Eat Foto Down Eat Left,0,-1,16
95,Eat Eat Chemo Eat Right Left Down Right Foto Up Eat Down Foto Foto Foto Left Foto Eat Left Left Left Left Down Foto Chemo,0,-1,74
96,Foto Eat Foto Down Right Down Foto Chemo Eat Right Chemo Up Right Left Right Chemo Up Up Eat Foto Up Down Left Left Right,0,-1,8
97,Left Up Right Foto Down Foto Up Left Right Down Eat Eat Up Left Chemo Chemo Up Chemo Up Foto Foto Eat Foto Left Down,0,-1,3
98,Eat Eat Down Up Right Eat Eat Down Left Up Left Right Eat Eat Up Down Left Eat Left Foto Foto Left Up Eat Left,0,-1,10
99,Left Up Up Up Up Down Up Down Left Foto Chemo Chemo Down Eat Eat Chemo Left Foto Eat Down Foto Down Chemo Foto Left,0,-1,10
100,Down Right Eat Left Left Foto Up Up Foto Chemo Up Right Chemo Down Down Eat Chemo Down Up Foto Foto Foto Chemo Right Chemo,0,-1,53
101,Right Left Eat Chemo Up Right Eat Eat Left Left Eat Chemo Chemo Eat Eat Chemo Up Up Eat Foto Right Foto Left Left Eat,0,-1,18
102,Down Foto Foto Chemo Down Chemo Up Eat Up Chemo Eat Up Left Foto Chemo Down Foto Foto Left Down Eat Down Up Down Chemo,0,-1,10
103,Chemo Chemo Eat Left Foto Chemo Right Foto Eat Right Foto Down Foto Chemo Up Up Chemo Eat Left Right Right Up Down Foto Eat,0,-1,317
104,Down Chemo Left Up Eat Down Eat Right Down Right Chemo Down Left Left Right Foto Right Up Down Down Right Foto Eat Left Right,0,-1,7
105,Foto Down Up Right Up Right Foto Left Up Chemo Foto Down Foto Eat Chemo Chemo Down Right Eat Down Right Left Eat Down Left,0,-1,12
106,Down Down Up Right Down Foto Down Down Right Chemo Chemo Eat Right Up Left Down Eat Eat Right Down Left Right Left Chemo Up,0,-1,7
107,Up Foto Eat Down Up Eat Foto Chemo Up Right Up Up Right Down Eat Foto Left Up Chemo Eat Chemo Chemo Chemo Left Chemo,0,-1,16
108,Left Right Right Down Eat Chemo Right Foto Foto Foto Left Right Down Left Right Left Right Right Chemo Left Up Right Chemo Chemo Eat,0,-1,7
109,Right Right Right Right Up Chemo Up Down Eat Down Foto Down Up Foto Right Chemo Left Chemo Down Up Up Left Up Foto Up,0,-1,8
110,Up Chemo Right Eat Left Foto Chemo Chemo Eat Right Up Right Up Chemo Left Chemo Down Chemo Right Foto Right Eat Down Down Chemo,0,-1,6
111,Up Eat Down Left Right Foto Chemo Left Left Foto Down Chemo Left Right Foto Right Foto Chemo Up Up Chemo Left Left Eat Up,0,-1,14
112,Left Up Down Down Foto Up Left Left Foto Chemo Right Chemo Up Foto Chemo Down Eat Up Left Foto Foto Left Right Down Foto,0,-1,9
113,Right Foto Chemo Down Down Chemo Chemo Down Chemo Right Down Left Right Left Chemo Up Chemo Up Chemo Right Eat Right Down Down Eat,0,-1,7
114,Foto Eat Down Eat Left Right Eat Eat Eat Left Eat Down Left Left Left Eat Right Down Up Foto Eat Foto Eat Chemo Left,0,-1,7
115,Eat Left Right Up Foto Foto Up Down Down Up Down Chemo Up Right Down Foto Foto Left Eat Chemo Left Chemo Right Chemo Foto,0,-1,9
116,Left Up Up Left Chemo Eat Left Right Chemo Left Left Chemo Up Down Right Chemo Left Foto Foto Eat Up Right Chemo Up Foto,0,-1,7
117,Up Left Up Eat Right Down Chemo Right Right Up Chemo Right Left Down Eat Eat Chemo Down Chemo Up Foto Up Foto Right Foto,0,-1,4
